building_class,fov,architecture,iteration,train_n,validation_n,test_n,kappa,precision,recall,computation_time(seconds),test_accuracy,average_accuracy
Industry,F60,inception_v3,3,64021,21187,21142,0.243168208,0.208685163,0.575707155,2510,85.17642617,72.20561852
Industry,F60,mobilenet_1.0_224,0,63976,21232,21142,0.096874603,0.106349385,0.78452579,1768,61.29505038,69.35668069
Industry,F60,mobilenet_1.0_224,1,63901,21307,21142,0.286555985,0.309090909,0.353577371,1319,91.83142781,65.29672211
Industry,F60,mobilenet_1.0_224,2,63726,21482,21142,0.258624471,0.235903814,0.473377704,1311,88.2887125,69.0475211
Industry,F60,mobilenet_1.0_224,3,64021,21187,21142,0.291780724,0.367875648,0.295341098,1578,93.10850501,63.23746614
Industry,F90,inception_v3,0,63976,21232,21142,0.180994821,0.159642931,0.639767055,3498,78.80522013,71.83790139
Industry,F90,inception_v3,1,63901,21307,21142,0.179712511,0.157140126,0.683860233,2407,77.34840512,73.13734465
Industry,F90,inception_v3,2,63726,21482,21142,0.160319127,0.144425386,0.700499168,2504,74.70437884,72.51743583
Industry,F90,inception_v3,3,64021,21187,21142,0.169273628,0.150363636,0.688019967,2520,76.12335682,72.68334538
Industry,F90,mobilenet_1.0_224,0,63976,21232,21142,0.269066978,0.250575772,0.452579035,1881,89.19212818,68.54921253
Industry,F90,mobilenet_1.0_224,1,63901,21307,21142,0.292131657,0.422611036,0.261231281,1383,93.77069473,61.98583688
Industry,F90,mobilenet_1.0_224,2,63726,21482,21142,0.312339962,0.362422084,0.338602329,1412,92.85308719,65.13473031
Industry,F90,mobilenet_1.0_224,3,64021,21187,21142,0.316979516,0.351701783,0.361064892,1289,92.58348346,66.04722654
Industry,F30_60_90,inception_v3,0,191928,63696,63426,0.189058254,0.164954338,0.641153633,5684,79.5068264,72.27500026
Industry,F30_60_90,inception_v3,1,191703,63921,63426,0.181164142,0.158321442,0.676927343,4944,77.70314813,72.99966038
Industry,F30_60_90,inception_v3,2,191178,64446,63426,0.123782196,0.12141242,0.774265114,4867,66.86217189,71.82592703
Industry,F30_60_90,inception_v3,3,192063,63561,63426,0.204698706,0.176768476,0.619523017,4871,81.43348098,72.28006259
Industry,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.030909133,0.071737233,0.934553522,2919,30.87535203,60.27916389
Industry,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.298621601,0.331136304,0.348308375,3052,92.29495525,65.2948905
Industry,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.276204898,0.3549753,0.278979479,3189,93.01863313,62.42105685
Industry,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.07693362,0.095279748,0.845812535,3086,53.46230268,68.08383971
,,,,,,,0.202357308,0.211647356,0.570914795,2607.78125,78.82423941,68.61289433
,,,,,,,,,,,,
Office,F30,inception_v3,0,63976,21232,21142,0.069292943,0.984667668,0.6132303,2104,61.91467047,68.90393923
Office,F30,inception_v3,1,63901,21307,21142,0.096234166,0.981280593,0.730176699,2359,72.73200154,69.35731981
Office,F30,inception_v3,2,63726,21482,21142,0.084570973,0.982690406,0.684599104,2489,68.53183508,69.38147036
Office,F30,inception_v3,3,64021,21187,21142,0.07044837,0.985188119,0.612196683,677,61.84845567,69.2765008
Office,F30,mobilenet_1.0_224,0,63976,21232,21142,0.032194906,0.988888889,0.37234828,500,39.28199708,63.46589884
Office,F30,mobilenet_1.0_224,1,63901,21307,21142,0.077394457,0.963234585,0.982625388,973,94.72613931,52.9494512
Office,F30,mobilenet_1.0_224,2,63726,21482,21142,0.065226131,0.985893287,0.584781218,1037,59.29429531,68.93603058
Office,F30,mobilenet_1.0_224,3,64021,21187,21142,0.141632098,0.967505241,0.954028646,511,92.50307679,58.24688684
Office,F60,inception_v3,0,63976,21232,21142,0.092189696,0.985126672,0.681350593,2002,68.3899343,71.40086299
Office,F60,inception_v3,1,63901,21307,21142,0.111754115,0.981628631,0.760053157,2346,75.57468414,70.48750636
Office,F60,inception_v3,2,63726,21482,21142,0.073138454,0.986782024,0.606290299,2486,61.38492227,70.31451494
Office,F60,inception_v3,3,64021,21187,21142,0.096251733,0.983345847,0.709110597,1652,70.89206576,70.66765106
Office,F60,mobilenet_1.0_224,0,63976,21232,21142,0.15412035,0.969248695,0.94167446,1206,91.52398109,60.2958442
Office,F60,mobilenet_1.0_224,1,63901,21307,21142,0.108092179,0.978478141,0.785450608,1330,77.7220726,67.99980312
Office,F60,mobilenet_1.0_224,2,63726,21482,21142,0.038021299,0.989701832,0.406802185,1536,42.58821309,65.12798806
Office,F60,mobilenet_1.0_224,3,64021,21187,21142,0.161605708,0.970364315,0.934734459,1230,90.98476768,61.58520779
Office,F90,inception_v3,0,63976,21232,21142,0.104199591,0.980378416,0.757444505,1994,75.23413301,69.20555856
Office,F90,inception_v3,1,63901,21307,21142,0.104124896,0.980424664,0.756804646,2601,75.1773715,69.23417171
Office,F90,inception_v3,2,63726,21482,21142,0.105341073,0.977498023,0.791110892,2367,78.17614079,67.13130219
Office,F90,inception_v3,3,64021,21187,21142,0.114111712,0.976363636,0.819363095,1671,80.73502779,66.54391232
Office,F90,mobilenet_1.0_224,0,63976,21232,21142,0.117909403,0.969044765,0.915243392,1273,89.04550076,59.76216961
Office,F90,mobilenet_1.0_224,1,63901,21307,21142,0.086336426,0.981185003,0.705862086,1339,70.43325901,68.62643763
Office,F90,mobilenet_1.0_224,2,63726,21482,21142,0.120373647,0.970531915,0.898065659,1194,87.58395314,61.32752539
Office,F90,mobilenet_1.0_224,3,64021,21187,21142,0.090603818,0.978489084,0.747797411,1240,74.1840899,67.14744631
Office,F30_60_90,inception_v3,0,191928,63696,63426,0.093422748,0.982614822,0.70938951,4501,70.86683512,70.01493003
Office,F30_60_90,inception_v3,1,191703,63921,63426,0.093293236,0.9827881,0.707289462,4841,70.68079114,70.11194785
Office,F30_60_90,inception_v3,2,191178,64446,63426,0.128698295,0.976988533,0.83449,4905,82.20603466,67.52247981
Office,F30_60_90,inception_v3,3,192063,63561,63426,0.108009627,0.979914396,0.770011977,3231,76.38192773,69.06625541
Office,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.044144208,0.987139153,0.46845827,2926,48.33348989,65.90776197
Office,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.135503945,0.971102127,0.906400223,2938,88.41326833,62.10788994
Office,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.122745569,0.965910212,0.96367574,2956,93.24094057,56.3049991
Office,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.120263499,0.966032317,0.960263162,2671,92.9366529,56.43740053
,,,,,,,0.09878904,0.978450941,0.752222585,2096.4375,74.48507901,65.77653327
,,,,,,,,,,,,
Shop,F30,inception_v3,0,63976,21232,21142,0.347154784,0.273750414,0.729276896,2377,88.17046881,80.98103792
Shop,F30,inception_v3,1,63901,21307,21142,0.311726732,0.241579238,0.771604938,2559,85.78185439,81.71549282
Shop,F30,inception_v3,2,63726,21482,21142,0.30943133,0.239574816,0.775132275,2703,85.59738994,81.78440264
Shop,F30,inception_v3,3,64021,21187,21142,0.275150467,0.213405969,0.794532628,2082,83.18985701,81.42745107
Shop,F30,mobilenet_1.0_224,0,63976,21232,21142,0.083421506,0.095173166,0.923280423,820,52.50685811,71.28897118
Shop,F30,mobilenet_1.0_224,1,63901,21307,21142,0.042035185,0.074018742,0.961199295,1085,35.29467285,63.98359527
Shop,F30,mobilenet_1.0_224,2,63726,21482,21142,0.227936956,0.181707069,0.78659612,1137,79.85526323,79.29132139
Shop,F30,mobilenet_1.0_224,3,64021,21187,21142,0.110062855,0.109455403,0.900352734,518,60.17405987,74.25844036
Shop,F60,inception_v3,0,63976,21232,21142,0.354360536,0.279461279,0.731922399,2258,88.44007254,81.24825907
Shop,F60,inception_v3,1,63901,21307,21142,0.270981045,0.210391426,0.796296296,2453,82.87768364,81.34570246
Shop,F60,inception_v3,2,63726,21482,21142,0.372415531,0.296376812,0.721340388,2615,89.31983709,81.21396062
Shop,F60,inception_v3,3,64021,21187,21142,0.308130643,0.238599349,0.775132275,2009,85.52644253,81.74691764
Shop,F60,mobilenet_1.0_224,0,63976,21232,21142,0.066010528,0.086059744,0.96031746,1282,45.08561194,69.11493339
Shop,F60,mobilenet_1.0_224,1,63901,21307,21142,0.08245851,0.094621158,0.933862434,1343,51.71695948,71.37075064
Shop,F60,mobilenet_1.0_224,2,63726,21482,21142,0.452849603,0.493518519,0.470017637,1332,94.57005262,72.13392862
Shop,F60,mobilenet_1.0_224,3,64021,21187,21142,0.429723403,0.3952059,0.5670194,1291,93.02336574,75.89195362
Shop,F90,inception_v3,0,63976,21232,21142,0.249058641,0.194924291,0.805996473,2233,81.10396266,80.86609712
Shop,F90,inception_v3,1,63901,21307,21142,0.232218916,0.183462532,0.813932981,2436,79.57146764,80.43075539
Shop,F90,inception_v3,2,63726,21482,21142,0.293566946,0.228616684,0.76366843,2628,84.91154909,80.88134235
Shop,F90,inception_v3,3,64021,21187,21142,0.323154289,0.254731617,0.723985891,2000,87.15826273,80.19669557
Shop,F90,mobilenet_1.0_224,0,63976,21232,21142,0.04987566,0.077904586,0.969135802,1334,38.307634,65.94979292
Shop,F90,mobilenet_1.0_224,1,63901,21307,21142,0.364707744,0.313467855,0.589065256,1650,90.87598324,75.7972252
Shop,F90,mobilenet_1.0_224,2,63726,21482,21142,0.345880851,0.289637953,0.613756614,1452,89.8543179,76.42203701
Shop,F90,mobilenet_1.0_224,3,64021,21187,21142,0.383151587,0.409710392,0.424162257,1331,93.63352656,69.4763056
Shop,F30_60_90,inception_v3,0,191928,63696,63426,0.323427246,0.251987047,0.754850088,5227,86.66635156,81.39254439
Shop,F30_60_90,inception_v3,1,191703,63921,63426,0.285888276,0.222382,0.772780717,5239,84.28720236,80.98126564
Shop,F30_60_90,inception_v3,2,191178,64446,63426,0.283559089,0.219830773,0.78659612,5466,83.88200402,81.41880373
Shop,F30_60_90,inception_v3,3,192063,63561,63426,0.301217147,0.233641536,0.772486772,4787,85.18903852,81.44387748
Shop,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.145638137,0.129541656,0.865667255,3264,68.0793345,76.79912309
Shop,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.11654035,0.112972873,0.899764844,3357,61.56938672,74.96791701
Shop,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.062187115,0.084133682,0.9553204,3257,43.98038685,68.29530827
Shop,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.145146131,0.129209802,0.869488536,3062,67.86964536,76.86856915
,,,,,,,0.248408367,0.214345446,0.780579439,2393.34375,75.87720323,76.90577433
